name,img,url,logo,category,description,location
Maven Perfume,https://www.sunwaypyramid.com/static/shops/132c718a5f784804d50137139bfe91d3/w768-crop.jpg,https://www.sunwaypyramid.com/directory/maven-perfume,https://www.sunwaypyramid.com/static/shops/6972e630a3b7608a05b34ba53ac43288/w768.png,Home & Living,"Retailing of car perfume, air freshener and body spray","LG1, PC-003 (Lower Ground 1 Floor)"
Maxis,https://www.sunwaypyramid.com/static/shops/38568def89f698faa4a5506d8834e196/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/maxis,https://www.sunwaypyramid.com/static/shops/5f607b30ee2370d7baad0f57b6a70248/w768.png,Digital Lifestyle,Retailing of Maxis services.,F1.99 (First Floor)
McDonald's,https://www.sunwaypyramid.com/static/shops/2d3db21bbc2a20c6c71e22a8fd7c47bb/w768-crop.jpg,https://www.sunwaypyramid.com/directory/mcdonalds,https://www.sunwaypyramid.com/static/shops/57100980702f4c669330587d0fbde4c8/w768.png,Food & Beverages,Retailing in fast food.,LG2.41 (Lower Ground 2 Floor)
McDonald's Kiosk,https://www.sunwaypyramid.com/static/shops/4679817d64f5214f701e76ec5e9cea4d/w768-crop.jpg,https://www.sunwaypyramid.com/directory/mcdonalds-kiosk,https://www.sunwaypyramid.com/static/shops/29c389294059fae78afc81de158e09f6/w768.png,Food & Beverages,Retailing of ice-cream.,F1.101 (First Floor)
Medifeet,https://www.sunwaypyramid.com/static/shops/2e52ddd03afb848be024bb86999c553f/w768-crop.jpg,https://www.sunwaypyramid.com/directory/medifeet,https://www.sunwaypyramid.com/static/shops/50e3c34562ec6ecc4722f7aadab417e1/w768.png,Footwear,"We take care your feet from inside out!
Medifeet creates super-cushioning, conforming, and comfortable shoes with varying medical, therapeutic, corrective, protective, user-friendly, and supportive features built-in or inserted-in to fix all foot problems. Medifeet started-out humbly with only dealers and no retail shops but in just over 5 years they have grown to 34 branches throughout Malaysia, including in Sunway Pyramid.

It’s what’s on the inside that counts MEDIFEET as a high technology designed to feel like clouds—soft, ultralite, swaddling your feet like baby and it all begins right beneath your feet.
Our footbeds and shoe designs are carefully engineered using the finest materials like high-grade memory padding, contoured orthotic systems to create a cushion that molds to your feet and absorbs the shock of all those steps you’re taking. They’re anatomically shaped to help spread weight evenly for a comfortable stride, and in many cases, our footbeds are even removable specially made for diabetics. Just replace with a new one or a custom orthotic to kick up the walkability of your MEDIFEET in seconds.
Taking care of your feet is our priority, as we know FEET IS OUR SECOND HEART!
Medifeet emphasizes on building-in health and comfort components into health shoes while maintaining the beauty aspect. Upon working closely with their podiatrist, Medifeet has their very own creation, the innovative Orthotic System, which when used with our readymade range helps make the semi-custom-made range possible.
The Orthotic System comprises insole support built-ins according to individual needs such as their built-in with arch support for solving flat feet problems. Their Spine Guard using Japanese technology and 3-point support built-in inside shoes are examples of their other 6-7 technologies.
Competitors claim their products are similar to Medifeet but really can’t match its technological innovation, creativity, and quality.",F1.87B (First Floor)
Meiko,https://www.sunwaypyramid.com/static/shops/a91b55424425adf21ce4dad06b974ad9/w768-crop.jpg,https://www.sunwaypyramid.com/directory/meiko,https://www.sunwaypyramid.com/static/shops/6cb9faf6f3ee4d519a28323e21f8ad84/w768.png,Health & Wellness,"MEIKO is a leading brand name by Goldlife Marketing Sdn Bhd, a budding Malaysian company that specializes in healthcare products since 2007. Over the years, MEIKO had received numerous prestigious awards and recognition such as the 2018 Malaysia Health & Wellness Brand Awards, the 2014 International Corporate Award International Brand, the 2015 SME 100 Awards - Fast Moving Companies, and others for their continuous effort and innovation to ensure Meiko consistently deliver the best quality product and service to their consumers.
Our golden years can be more than just survival where we deserve to live our life confidently and flexibly. The tagline “Moving life” portrays that Meiko helps people to continue moving actively to anywhere and do anything at any time they wish, enabling them to create new memories and enjoy meaningful lives even in their old age, rather than fear of disability during old age.
As a Joint Care specialist brand in the healthcare industry, Meiko launched the 4 Treasures of Joints product series ambassador by Malaysian DJ, Chan Fong, to help the community prevent and release joint pain issues. Besides, Meiko also has Detoxing, Rejuvenation, and Restoration supplements that complement the community’s needs to maintain their general health. Meiko’s product is carefully created with Japanese technology and expertise to strengthen people’s bodies and sharpen their minds so they can spend the rest of their years with flexibility, energy, and joy.
Meiko emphasizes “Trial Before Purchase with Expert Consultation” in its customer purchase experience. Thus, nutritionists will only recommend suitable products based on the health report.
Your Health, Family Wealth. Thus, book your health check appointment with Meiko’s healthcare specialist now @ LG 2-130",LG2.138A (Lower Ground 2 Floor)
Mgp Label,https://www.sunwaypyramid.com/static/shops/957781e11c5e13a50ded1158321c3240/w768-crop.jpg,https://www.sunwaypyramid.com/directory/mgp-label,https://www.sunwaypyramid.com/static/shops/fb5d61c964203c3080c4ac8d0cb6229b/w768.png,Fashion,,LG1.122B (Lower Ground 1 Floor)
Michael Kors,https://www.sunwaypyramid.com/static/shops/3c4d3cf1bddecbc0c956764a001bbbe4/w768-crop.jpg,https://www.sunwaypyramid.com/directory/michael-kors,https://www.sunwaypyramid.com/static/shops/da01c74c390d4fb1165d7b7bffd28ff9/w768.png,Bags & Leather Goods,"Michael Kors is a world-renowned, award-winning designer of luxury accessories and ready-to-wear. His namesake company, established in 1981, currently produces a range of products under Michael Kors Collection, MICHAEL Michael Kors and Michael Kors Mens, including accessories, ready-to-wear, footwear, wearable technology, watches and a full line of fragrance products. Michael Kors stores are operated in the most prestigious cities in the world. In addition, Michael Kors operates digital flagships across North America, Europe and Asia, offering customers a seamless omni-channel experience. Michael Kors Holdings Limited is publicly listed on the New York Stock Exchange with the ticker KORS.","LG1.12, LG1.13 (Ground Floor)"
Miga,https://www.sunwaypyramid.com/static/shops/29517bbf77e08352b9422abb9a2bbab0/w768-crop.jpg,https://www.sunwaypyramid.com/directory/miga,https://www.sunwaypyramid.com/static/shops/2067be49f84db7508a88e070ee221b26/w768.png,Food & Beverages,Premium Korean Country Delights.,LG2.38A (Lower Ground 2 Floor)
Milk Warmer,https://www.sunwaypyramid.com/static/shops/c95e40d2cc3902ae78e4d228205f7516/w768-crop.jpg,https://www.sunwaypyramid.com/directory/milk-warmer,https://www.sunwaypyramid.com/static/shops/c6cb6e9cb738092536e2d9d86acb1776/w768.png,Amenities/Facilities,Keep your baby’s milk warm and heated while you prep for feeding time. Approach any of our concierges to obtain it!,Multiple Locations
Milolo,https://www.sunwaypyramid.com/static/shops/d49d15bdff8e43b04af109ef68264027/w768-crop.jpg,https://www.sunwaypyramid.com/directory/milolo,https://www.sunwaypyramid.com/static/shops/20eaf44dd95915d601132faca9c1408a/w768.png,Toys & Hobbies,"Collectors and toy lovers will enjoy browsing Milolo’s ample shelves.
Milolo is bursting with decorative items and irresistible collectibles.
Here, you will find blind boxes, figurines, art toys and so much more.
New editions come in regularly, so there will always be a new addition to your collection. Drop by and see what’s new!",F1.58B (First Floor)
Mission-Q,https://www.sunwaypyramid.com/static/shops/3c64f11ab91959248c25e1f9f64d24b3/w768-crop.jpg,https://www.sunwaypyramid.com/directory/mission-q,https://www.sunwaypyramid.com/static/shops/5ad01c819a6f785c167828cebe3af3fc/w768.png,Entertainment,"Mission-Q (Real Escape Game Room in Malaysia) brings you 5 unique adventurous escape rooms, each with its own theme. The objective is to physically escape from the room within an hour by collecting items, identifying clues, and solving puzzles and riddles. This game requires observation, teamwork, creativity, communication, and courage.
Mission Q provides entertainment with difficulty levels ranging from 3 to 5 stars, players can choose to enjoy the expedition while overcoming moderately set challenges or put their wits to the test. Nevertheless, the kid-friendly and safe environment promises a family-oriented experience traversing a multitude of scenarios.
Worried about getting stuck? Fret not for a ""help"" bell can be easily located in each room to contact the Game Master for assistance whereby hints will be given to aid the player.",F1.19 (First Floor)
Mixue,https://www.sunwaypyramid.com/static/shops/7c23ed7d59694941dddd09a345d0efcb/w768-crop.jpg,https://www.sunwaypyramid.com/directory/mixue,https://www.sunwaypyramid.com/static/shops/0fb2b304777488f29f6c949ff389c40f/w768.png,Food & Beverages,"Mixue is a tea-based beverage and ice cream brand that has over 26,000 outlets worldwide. The products are made of high-quality raw materials around the world and selling at a affordable price.",OB2G.09 (Ground Floor)
Mobile Boutique,https://www.sunwaypyramid.com/static/shops/9f398826fb8ea489a2665b4ba1522bb4/w768-crop.jpg,https://www.sunwaypyramid.com/directory/mobile-boutique,https://www.sunwaypyramid.com/static/shops/4a9342c71b234d707723f7b1ae2c5410/w768.png,Digital Lifestyle,,LG1.006.PushCart (Lower Ground 1 Floor)
Mobile Fix Lab,https://www.sunwaypyramid.com/static/shops/792e855e237bd6df047c2f4e2b4c0b6a/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/mobile-fix-lab,https://www.sunwaypyramid.com/static/shops/c54608cf87f0e2ae5ff41102722369df/w768.png,Digital Lifestyle,,F1.37A (First Floor)
Mojoskins,https://www.sunwaypyramid.com/static/shops/58343d5d8a886f69b12cd2cfcd2288c0/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/mojoskins,https://www.sunwaypyramid.com/static/shops/1aec9b1d80e484360c6898a6d2ee6216/w768.png,Digital Lifestyle,,LG2.102 (Lower Ground 2 Floor)
Momoyo,https://www.sunwaypyramid.com/static/shops/db0f66316010ea2c029f057e96f64040/w768-crop.jpg,https://www.sunwaypyramid.com/directory/momoyo,https://www.sunwaypyramid.com/static/shops/f0ef7ecacb05e4407803b0eed3faef3d/w768.png,Food & Beverages,,LG2.139A-1 (Lower Ground 2 Floor)
Monki,https://www.sunwaypyramid.com/static/shops/4f52ed6a88c1d74a72ab0b13f110ed49/w768-crop.jpg,https://www.sunwaypyramid.com/directory/monki,https://www.sunwaypyramid.com/static/shops/72c7cc81f4d0726d134fac831ff92814/w768.png,Fashion,"Monki is a storytelling brand that offers great fashion at competitive prices, aiming to be kind to the world and the people in it. stand up for themselves — and others.
Bringing its unique blend of Scandi-cool and Asian street style, Monki’s design team has stayed on the pulse of interesting trends and personal inspiration since 2006. At the core stands the Swedish fashion brand’s aim to empower young women everywhere to express and feel great about themselves. The brand mixes Scandinavian cool with creative street style and is all about being brave, friendly and fun while empowering young women to stand up for themselves — and others.
Monki has always been inspired by its creative community of fans who show their personal style, using the global hashtag #monkistyle. The brand is now available in Sunway Pyramid!
With 115 stores in thirteen markets across Europe and Asia and an online store that delivers to 19 European countries, Monki has grown consistently since it was founded in 2006.",G1.51 (Ground Floor)
Monobo,https://www.sunwaypyramid.com/static/shops/ecbf2c6f4064aa664baa7d38b12b36ab/w768-crop.jpg,https://www.sunwaypyramid.com/directory/monobo,https://www.sunwaypyramid.com/static/shops/525d37c5a6bc7dd4687cab02748f48b3/w768.png,Asian Avenue,"If you’re a fan of jelly shoes, here’s a brand to check out! Monobo, with its foamy PVC-EVA heel and girly, glittery designs, is another alternative to other brands of jelly shoes in the market.
Jelly shoes are shoes made of PVC plastic. Its name refers to the semi-transparent materials with a jelly-like sheen. The shoes became a fad in the mid-1980s. Like many other fashion trends from the 1980s, jelly shoes have been revived a number of times since the late 1990s, because they are so wearable and stylish. In fact, jelly shoes are so comfortable and versatile that celebrities with vastly different styles like Katy Perry, Anne Hathaway, Rihanna and even the First Lady Michelle Obama have been seen sporting them in their downtime!
Whether you’re into flats, wedge heels, or even loafers, Monobo offers comfy options that can be easily paired with a flare dress or capri pants for a weekend jaunt into town, or a blouse and pencil skirt combo for a dressier, pulled together look. The shoes come in a rainbow of on-trend colours such as sweet lilac, hipster mustard-yellow, electric blue and show-stopping red, so you’ll always have a pair to suit your mood!",F1.AV.30 (First Floor)
Moobeeii Art Garden,https://www.sunwaypyramid.com/static/shops/6dd4e4f0fffd18bbe992e4f31f732f4a/w768-crop.jpg,https://www.sunwaypyramid.com/directory/moobeeii-art-garden,https://www.sunwaypyramid.com/static/shops/6165db507c5e2b1b66a79da077da1af0/w768.png,Gift,"Moobeeii Art Garden 茂美藝 is a place where we always design / create little happiness and peace. We have our own harvested plants, lots of self-designed pots and we can even custom make designs for you",CP3.02 (CP3 Floor)
Mr Bean,https://www.sunwaypyramid.com/static/shops/052ebfff60be225b2ae6c96b03f6dfb8/w768-crop.jpg,https://www.sunwaypyramid.com/directory/mr-bean,https://www.sunwaypyramid.com/static/shops/ac7c2279c23db91ab33475d161df925c/w768.png,Food & Beverages,"Started in 1995, Mr Bean is the leading chain soy bean F&B retailer in Singapore with more than 70 stores island-wide. Mr Bean offers a variety of fresh soy drinks, Japanese obanyaki pancakes, soy ice cream and desserts. Only the finest ingredients and premium grade of Non-GMO (Non genetically modified) soy beans goes into our products while our vital secret ingredient remains our heart, research and dedication to customers.","F1.92,F1.93 (First Floor)"
Mr DIY,https://www.sunwaypyramid.com/static/shops/bfa060e46d302006c267f73595f3869b/w768-crop.jpg,https://www.sunwaypyramid.com/directory/mr-diy,https://www.sunwaypyramid.com/static/shops/f750bc165a1ca4a35552d6c9bf450f59/w768.png,Home & Living,,LG2.119 - 120 (Lower Ground 2 Floor)
Mr. Dakgalbi,https://www.sunwaypyramid.com/static/shops/249a9c7ae0e77b5b11b2b9ec001964ad/w768-crop.jpg,https://www.sunwaypyramid.com/directory/mr-dakgalbi,https://www.sunwaypyramid.com/static/shops/eaaad1178d93ddb9ddf1f462ad29407b/w768.png,Food & Beverages,Retailing of Food & Beverages,F1.86C (First Floor)
Mr. Siew Bao,https://www.sunwaypyramid.com/static/shops/228071ef34c1b5d5864ea2223747f2ac/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/mr-siew-bao,https://www.sunwaypyramid.com/static/shops/0801c4e0712c5a6a50bcea18f100da3f/w768.png,Food & Beverages,"The famous Seremban traditional pastry Siew Bao is so delicious and crispy! Once you have tasted one, you will definitely want more!
Business Hours: 9.30 am - 10.30 pm",F1.K1 (First Floor)
Mr. Tuk Tuk,https://www.sunwaypyramid.com/static/shops/a35128e4164d0255b931855fa08e1d99/w768-crop.jpg,https://www.sunwaypyramid.com/directory/mr-tuk-tuk,https://www.sunwaypyramid.com/static/shops/06995c7ca197883bdff2817d9e4daef4/w768.png,Food & Beverages,"Retailing of Thai food, dessert and beverages
Business Hours: 11.30am-10pm",LG2.27 (Lower Ground 2 Floor)
Muji,https://www.sunwaypyramid.com/static/shops/eae2b92a77209dcac86f058144d478b7/w768-crop.jpg,https://www.sunwaypyramid.com/directory/muji,https://www.sunwaypyramid.com/static/shops/3c66bcbd06c2a188452f868b1373f461/w768.png,Fashion,"Garment, Household & Food",LG1.113 (Lower Ground 1 Floor)
Murad Skin Care,https://www.sunwaypyramid.com/static/shops/0edf0572c40c81cef61dfe35fda95017/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/murad-skin-care,https://www.sunwaypyramid.com/static/shops/7088ffb083a48534d7b1d642ccec0ee9/w768.png,Beauty,"Murad Skin Care in Sunway Pyramid believes that your skin deserves a one-of-a-kind facial. Howard Murad, M.D., FAAD, is recognized around the world as a leading visionary for his unmatched scientific innovations. A board-certified dermatologist, trained pharmacist and Associate Clinical Professor of Medicine at the Geffen School of Medicine, UCLA, Dr. Murad has personally treated over 50,000 patients.
For more than 30 years, Murad has been committed to developing clinically proven, cruelty-free products that meet the meticulous standards for safety, efficacy and care you’d expect from a doctor. Plus, they’re supported by Dr. Murad’s industry-first research for the most advanced formulas that don’t just consider a symptom or concern, but rather address total skin health.
Now available in Sunway Pyramid, Murad offers clinically proven Professional Facial Treatments and skincare product range to addresses skin concerns such as blemish/acne breakouts, dull and tires skin, dark spots & pigmentation and fine lines & wrinkles.
Murad Method Facial System is a uniquely designed personalised facial that will engage and create a personal bond between the therapist and client for a truly personalised facial journey. Not all skin types are similar, the personalisation allows our therapist to identify client’s specific skin health needs and adapts flexible protocols to treat 2 skin concerns at once for a complete skincare treatment that leads to outstanding results for a healthier looking skin.
“Skincare is not superficial because it is healthcare. When you have beautiful skin it is a sign that you have a healthy body and mind.” Dr Howard Murad M.D
#BeautyTreats",LG1.92 (Lower Ground 1 Floor)
MyTimeTrade,https://www.sunwaypyramid.com/static/shops/99ff7d761f30eb68e3fabbf0978f74b2/w768-crop.jpg,https://www.sunwaypyramid.com/directory/mytimetrade,https://www.sunwaypyramid.com/static/shops/e033b17d6c217929914026aaff9554e0/w768.png,Jewellery & Timepieces,MYTIMETRADE,LG2.132D (Lower Ground 2 Floor)
MyeongDong Topokki,https://www.sunwaypyramid.com/static/shops/bfc1f9bb92d27cc188f6bac52f55a33d/w768-crop.jpg,https://www.sunwaypyramid.com/directory/myeongdong-topokki,https://www.sunwaypyramid.com/static/shops/5aa94c421db5d96043344049f2e9209f/w768.png,Asian Avenue,Retailing in Korean Street Food,F1.AV.148 (First Floor)
Myfeet,https://www.sunwaypyramid.com/static/shops/2deef315b31f183b9a6db63cdfc50f51/w768-crop.jpg,https://www.sunwaypyramid.com/directory/myfeet,https://www.sunwaypyramid.com/static/shops/db596fd360ccd03a06c62eb9cc2918fc/w768.png,Footwear,"In 2006, Mr. Wong discovered trend and rising demand of comfortable insoles in Hong Kong. Curious about why would anyone purchase insoles, he began to journey to understand more on shoes and leg pain problems. During abroad, he obtained the principle of bio-dynamics, helping him to further understand insoles and their purpose. He began trying different insoles on himself.
After 6 months, he realized that his own knee problems have improved. Since then, he decided to venture into the making of insole business – MyFeet. He imported digital scanning machines from Korea to analyse customers feet problems and custom made insoles that solve their feet problems. After many years of analysing, feet problems can be categorized into a flat arch, high arch, bowleg, knock knee, overpronation, and supination. These problems will lead to an imbalance of body biodynamics, causing stress on the rest of the body such as foot pain, knee pain, and back pain.
Mr. Wong created MyFeet to help more people to solve pains caused by the feet. The sandals in MyFeet Sunway Pyramid are carefully engineered using the finest materials like high-grade memory foam, shaped and moulded to fit each wearer feet condition. All our sandals are shaped to help spread weight evenly for a comfortable walk and bring back balance to the body biodynamics.",LG1.116C (Lower Ground 1 Floor)
NANYANG CAFE,https://www.sunwaypyramid.com/static/shops/d97679d86e5415cf2409655778bf38c0/w768-crop.jpg,https://www.sunwaypyramid.com/directory/nanyang-cafe,https://www.sunwaypyramid.com/static/shops/1ab368f638027f919bacae912f6b98c2/w768.png,Food & Beverages,"NANYANG CAFE is a Malaysia-based fusion gastronomic culinary brand which bases its culinary essence on the exquisite amalgamation of the unique palate of Nanyang cuisine and the rich-in-heritage Malaysian Chinese cuisine and it is NOW available in Sunway Pyramid!
Gourmet noodles and freshly baked bakeries are the 2 core differentiating products of NANYANG CAFE. A tasty serving of noodles requires the collective elements of a well-qualified chef coupled with the freshest and highest quality of ingredients. NANYANG CAFE also offers Hong Kong-originated gourmet tempting bakery & pastries product as a perfect choice for HiTea or snacks for the day.
NANYANG CAFE offers an all-day dining experience in casual and relax ambience with a touch of natural sunlight to delight your day! Signature favourites include Hong Kong Style Wanton Noodles, Freshly Baked Polo Bun, NANYANG Coffee & Milk Tea and Pork Chop with Curry Rice.",G1.PT.07 (Ground Floor)
NATESKIN,https://www.sunwaypyramid.com/static/shops/bb968da8dad1c78852a8d00eef200e8e/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/nateskin,https://www.sunwaypyramid.com/static/shops/beb9e60cdac4dc4944b3e5bd48099391/w768.png,Home & Living,"Nateskin is the leading brand in self-grooming solutions, providing a voice to those who feel too ashamed or awkward. Body hair, smelly pits and more - we’re always striving to create new products that allow our customers to live more confident lives. Swing by our store and check out our body grooming products!",PC-301 (Lower Ground 2 Floor)
NOT ONLY TOY,https://www.sunwaypyramid.com/static/shops/a7ec141b793dbd0aa7412c06a5df410f/w768-crop.jpg,https://www.sunwaypyramid.com/directory/not-only-toy,https://www.sunwaypyramid.com/static/shops/f6014d473c0fb8c8aa4254d39f10c6b8/w768.png,Toys & Hobbies,IP Essential stores that offers an exclusive collection of authentic original figures and goods.,F1.70 (First Floor)
Nadeje,https://www.sunwaypyramid.com/static/shops/5ed5beca34e289d975945d35ca6b3eb6/w768-crop.jpg,https://www.sunwaypyramid.com/directory/nadeje,https://www.sunwaypyramid.com/static/shops/0bbde57d2c48d6a641ce8d93d38d08d5/w768.png,Food & Beverages,"Retailing of Cafe, Mille Crepe, Cakes, Desserts and Beverages",G1.82B (Ground Floor)
Naelofar Hijab,https://www.sunwaypyramid.com/static/shops/70e6dd18794e95f9552933a669a8d35e/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/naelofar-hijab,https://www.sunwaypyramid.com/static/shops/9544c63031e31afb662cc2b8e0627164/w768.png,Fashion,"Naelofar is a Malaysia grown modest wear brand founded by prominent Malaysian celebrity and entrepreneur, Neelofa in 2014. Naelofar as a brand always believes in curating premium quality and affordable headscarves.
At Naelofar, we create beautiful headscarves that you choose and love to wear. Our brand promise is the essence of Naelofar. 'Go Far', is the brand promise we will use to deliver this new communication. It articulates what we can do for our customers. We want to help women achieve their goals, feel confident in themselves and empowered by their decision to choose modest wear.",LG1.010.PushCart (Lower Ground 1 Floor)
Nail Artz,https://www.sunwaypyramid.com/static/shops/e0574c71fc3f587446319186a662aa83/w768-crop.jpg,https://www.sunwaypyramid.com/directory/nail-artz,https://www.sunwaypyramid.com/static/shops/64414092c349479dbc6615e95ced95a4/w768.png,Asian Avenue,Manicure and pedicure services.,F1.AV.168 (First Floor)
Nail ShahSo,https://www.sunwaypyramid.com/static/shops/45d538c639cb74530da7652229b84636/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/nail-shahso,https://www.sunwaypyramid.com/static/shops/78b6e78dadeed06291f5ce5a18aeb57a/w768.png,Asian Avenue,"Providing Manicure & Pedicure services ( Nail art, Nail Extension , Hands and Foot Spa..)","F1.AV.173, F1.AV.175 (First Floor)"
Nam Heong,https://www.sunwaypyramid.com/static/shops/449180892d0e42ce202ca372de4e5b95/w768-crop.jpg,https://www.sunwaypyramid.com/directory/nam-heong,https://www.sunwaypyramid.com/static/shops/aaaa225da0815237e0a665f273f2cc1e/w768.png,Food & Beverages,"南香六十五年，乘持烹任至精、服务至诚、品味至尚的理念，一路创新发展，赢得了海内外顾容的青睐、成为了怡保老字号，大马知名特色餐饮企业
With 60 years of remarkable history, Nam Heong Ipoh emerged to be the top among its peers by preserving the nostalgic tastes of Ipoh's heritage dishes while delivering top notch service. Nam Heong evolves with the test of time by introducing the use of technology to elevate the dining experience, hence earning its position as the most iconic brands in Ipoh's rich culinary scene.",LG1.98B (Lower Ground 1 Floor)
Nando's,https://www.sunwaypyramid.com/static/shops/b7fc53a184085d2eab46d611bcba61a3/w768-crop.jpg,https://www.sunwaypyramid.com/directory/nandos,https://www.sunwaypyramid.com/static/shops/4c7a0d48316a971002c751905002bf39/w768.png,Food & Beverages,"Casual dining restaurant. Afro-Portuguese Peri-Peri Flame-Grilled chicken in your choice of Lemon & Herbs, Mild, Hot or Extra Hot Peri-Peri sauce.",LG2.56 (Lower Ground 2 Floor)
Nars,https://www.sunwaypyramid.com/static/shops/0ce49ffae7e0fe9b5521ee704e56ee3c/w768-crop.jpg,https://www.sunwaypyramid.com/directory/nars,https://www.sunwaypyramid.com/static/shops/d314371f3df36d75345be62892f66ee5/w768.png,Beauty,"Nars Cosmetics is a cosmetics and skin care company founded by make-up artist and photographer François Nars in 1994. The cosmetics line began with twelve lipsticks sold at Barneys New York. Since then, NARS has created various multi-use beauty products and now is a subsidiary of Shiseido. After the falling out in the contract with YSL, Shiseido's investment upon merging with NARS in research and development led to the wide range or products for both Females and Males. The company's aim is to create products that suit all genders without discrimination. Evident in the recent collections of palettes, the main darker shades centered around Blue, Gray etc represent the compatibility with males. After taking on YouTuber Jeffree Star's comments on unity in strength amongst all genders, NARS Cosmetics decided to expand their horizon in various designs and color schemes to accommodate all people of color, shapes and sizes who are expressing themselves through makeup. Nars is no longer a cruelty free brand. In 2017 NARS announced that, despite being against animal testing, it was a requirement for selling products in the China market. In a public statement the company said: ""We have decided to make NARS available in China because we feel it is important to bring our vision of beauty and artistry to fans in the region. NARS does not test on animals or ask others to do so on our behalf, except where required by law."" The statement elicited a number of critical responses, some suggesting a boycott of its products.",G1.128 (Ground Floor)
Nat Studio,https://www.sunwaypyramid.com/static/shops/b7635a8b6c01dc6d577e6354928a5a7b/w768-crop.jpg,https://www.sunwaypyramid.com/directory/nat-studio,https://www.sunwaypyramid.com/static/shops/3a9b80c2a773dba9b0e7b01a4b8cd439/w768.png,Fashion,,LG2.033.PushCart (Lower Ground 2 Floor)
Nespresso,https://www.sunwaypyramid.com/static/shops/ad8756d2809f34c01fbf55be446424d8/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/nespresso,https://www.sunwaypyramid.com/static/shops/0b8c1d5619120df983a551aa764cf1d0/w768.png,Food & Beverages,"Welcome to the world of Nespresso. Discover our promise to the finest and freshest coffee in the world that preserves the best of our world. We do this by selecting the rarest beans, crafting them with care and creativity to elevate a daily routine into a unique experience.
 
We believe that quality and sustainability are closely interlinked. We created our AAA Sustainable Quality™ Program to safeguard the supply of high-quality coffee, while protecting the environment and enhancing farmer livelihoods. We use aluminium for our capsules as it protects the quality of our coffee and it’s infinitely recyclable. We are committed to improving our recycling rates, reducing packaging and accelerating the use of recycled material.
 
At the touch of a button on Nespresso coffee machines, you get to enjoy fresh, high-quality, sustainably produced coffee, consistently cup after cup. You can easily craft a fresh cup of espresso or with fresh milk, just like a barista at home, made with high-quality beans and savour the precise roast and the generous crema as you sip your coffee.
 
There is a Nespresso coffee for every taste and occasion, from rich ristretto, bold espresso to easily recreated fresh milk recipes, Nespresso has a variety of permanent coffee, with addition of our seasonal blends and Limited Edition coffee. Come for a complementary coffee tasting in our boutique located at Level LG1.33B, Lower Ground Floor One and begin your journey with us.",LG1.33B (Lower Ground 1 Floor)
Neubodi,https://www.sunwaypyramid.com/static/shops/d2c3a07a53f8ae490cac81ae140e5c36/w768-crop.jpg,https://www.sunwaypyramid.com/directory/neubodi,https://www.sunwaypyramid.com/static/shops/095a18496359e7380807876dc82043ba/w768.png,Fashion,"NEUBODI. THE LEADING BRA SPECIALIST
Neubodi is a lingerie brand that represents an effortless body transformation through providing the right fit of beauty and confidence for every modern day women. We are the authentic specialist as we make most of our products ourselves by hand, effectively mastering the capacity of combining art and science to make sensual products that shape women confidently.
NEUBODI BELIEVES EVERY WOMAN SHOULD:
Get the right fit with the right bra-fitting guide
Discover the best styles that accentuate body curves and assets
Create a lingerie wardrobe that carries a perfect wear suitable for any occasion
Dress to impress - Learn what to wear for any occasion",G1.81 (Ground Floor)
New Balance,https://www.sunwaypyramid.com/static/shops/4a69d4a598718ed7773b94cab7e10fb0/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/new-balance,https://www.sunwaypyramid.com/static/shops/15c0d76413834f8c6361e837eac9bb91/w768.png,Fashion,"New Balance began as a Boston-based arch support company in the early 1900's, developed into a specialized shoe manufacturer in the 1970's, and has grown to become a leading global athletic products company. Today New Balance is a family of brands including New Balance, Dunham, PF Fleyers, Aravon, Warrior and Brine.
Since the days of selling arch supports to police officers and waiters, New Balance has been brand concerned with meeting the needs of the everyday athlete. Part of producing superior footwear and athletic apparel is manufacturing it to fit all widths and sizes, because a better fit produces better perfomanace.
To ensure the best fitting, best performing shoes and apparel, we focuss on improving our tehnology and production methods. A big part of that is maintaining five manufacturing facilities here in the United States where we continue to produce shoes and apparel that meet the standards we've employed for more than 100 years. We have also remained commited to a core set of values that include integrity, teamwork and total customer satisfaction.",F1.52 (First Floor)
New Era,https://www.sunwaypyramid.com/static/shops/6678a640f4a4673a3736454245201b3a/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/new-era,https://www.sunwaypyramid.com/static/shops/03edffe57b5eeadca7825e2a0de34fc5/w768.png,Fashion,"Since 1920, New Era has been handcrafting the finest headwear in the world. Today, with apparel and accessories lines featuring popular American sports leagues teams from the MLB, NBA and NFL, the brand is a market leader rooted in sports and an influencer of street and lifestyle culture around the globe.
With over 500 licenses in its portfolio, New Era is the brand of choice in the worlds of sport, fashion, music and entertainment.","LG1.065A, LG1.065B (Lower Ground 1 Floor)"
